imdbId,Imdb Link,Title,IMDB Score,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
2292576,http://www.imdb.com/title/tt2292576,The Dream Team (2012),0.8400000000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1606829,http://www.imdb.com/title/tt1606829,The Other Dream Team (2012),0.8400000000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2358592,http://www.imdb.com/title/tt2358592,Lucia (2013),0.8400000000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1853728,http://www.imdb.com/title/tt1853728,Django Unchained (2012),0.8400000000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2476090,http://www.imdb.com/title/tt2476090,Cosmic Psychos: Blokes You Can Trust (2013),0.8400000000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2631186,http://www.imdb.com/title/tt2631186,Bahubali: The Beginning (2015),0.8300000000000001,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1620933,http://www.imdb.com/title/tt1620933,Paan Singh Tomar (2012),0.8300000000000001,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954470,http://www.imdb.com/title/tt1954470,Gangs of Wasseypur (2012),0.8300000000000001,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1821700,http://www.imdb.com/title/tt1821700,Waar (2013),0.8300000000000001,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3322420,http://www.imdb.com/title/tt3322420,Queen (2013),0.8300000000000001,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4203824,http://www.imdb.com/title/tt4203824,Elizabeth Ekadashi (2014),0.8300000000000001,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2396224,http://www.imdb.com/title/tt2396224,It's Such a Beautiful Day (2012),0.8300000000000001,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2388725,http://www.imdb.com/title/tt2388725,Paperman (2012),0.8300000000000001,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3689498,http://www.imdb.com/title/tt3689498,Feast (2014),0.8300000000000001,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2181831,http://www.imdb.com/title/tt2181831,Shahid (2012),0.8300000000000001,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4934950,http://www.imdb.com/title/tt4934950,Talvar (2015),0.8300000000000001,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2663812,http://www.imdb.com/title/tt2663812,An Adventure in Space and Time (2013),0.8300000000000001,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2356180,http://www.imdb.com/title/tt2356180,Bhaag Milkha Bhaag (2013),0.8300000000000001,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2290153,http://www.imdb.com/title/tt2290153,Bill Burr: You People Are All the Same. (2012),0.8300000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3668162,http://www.imdb.com/title/tt3668162,Bangalore Days (2014),0.8300000000000001,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4679210,http://www.imdb.com/title/tt4679210,Premam (2015),0.8300000000000001,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4413794,http://www.imdb.com/title/tt4413794,Homeland (Iraq Year Zero) (2015),0.8300000000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2265179,http://www.imdb.com/title/tt2265179,Blood Brother (2013),0.8300000000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2654562,http://www.imdb.com/title/tt2654562,The Ghosts in Our Machine (2013),0.8300000000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2405862,http://www.imdb.com/title/tt2405862,Closure (2013),0.8300000000000001,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2845780,http://www.imdb.com/title/tt2845780,McConkey (2013),0.8300000000000001,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2407712,http://www.imdb.com/title/tt2407712,BBOY for LIFE (2012),0.8300000000000001,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3588982,http://www.imdb.com/title/tt3588982,Limited Partnership (2014),0.8300000000000001,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4150988,http://www.imdb.com/title/tt4150988,Lo Sound Desert (2015),0.8300000000000001,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
